263,81,99
221,81,109
445,49,84
341,64,153
314,70,115
237,77,167
215,85,109
277,72,146
353,68,110
268,75,100
306,67,156
315,66,110
338,67,140
326,63,139
306,68,156
408,56,98
165,85,132
321,65,116
284,69,126
261,72,116
351,64,140
237,85,155
237,78,168
304,63,111
474,50,95
313,70,113
270,72,129
155,99,154
461,51,96
300,73,141
264,76,113
234,84,98
351,64,140
313,65,135
206,92,107
182,89,117
343,67,140
300,69,140
298,78,125
326,65,130
329,66,142
237,78,168
317,62,106
292,64,107
300,67,108
473,48,95
215,75,110
332,65,121
220,82,163
358,60,94
445,49,84
224,76,135
306,68,156
215,88,108
317,68,153
236,81,154
317,62,106
311,65,119
263,72,131
317,67,153
290,69,130
350,68,110
298,69,119
219,92,112
269,64,109
287,71,122
157,102,145
290,69,130
286,69,134
317,62,106
412,58,96
384,57,149
458,50,92
181,86,108
329,66,147
237,78,168
285,69,126
244,69,130
317,63,103
283,72,124
264,76,113
303,65,121
269,64,109
405,55,99
358,62,93
282,67,136
285,69,149
303,65,121
286,69,134
322,62,103
266,64,111
311,65,119
334,65,105
202,80,124
261,72,118
277,72,154
326,66,121
179,82,109
214,82,116
269,70,133
300,75,120
332,65,121
237,85,121
218,86,115
311,69,124
284,69,126
251,74,109
337,68,141
329,66,147
280,74,139
209,86,101
444,49,84
292,68,113
286,66,158
234,72,98
288,71,131
272,75,124
322,64,123
288,72,126
246,65,130
292,61,108
357,57,108
278,73,153
236,81,154
321,66,117
267,72,99
224,76,135
179,82,109
321,65,116
219,92,112
331,68,141
340,63,145
351,69,110
251,70,114
393,58,155
272,75,126
301,65,127
357,57,105
292,62,108
283,69,109
213,81,117
251,74,109
320,69,102
234,84,98
329,60,143
334,65,105
301,74,120
218,86,115
317,67,153
224,78,141
285,69,149
250,82,96
476,51,94
313,66,135
317,68,153
330,68,141
286,69,134
279,73,155
326,65,121
297,73,136
263,71,131
426,54,160
215,85,133
256,68,140
316,66,110
317,63,105
311,69,124
306,68,156
284,73,112
386,57,100
288,66,136
325,68,162
310,68,135
214,82,105
219,92,112
304,67,122
294,68,147
224,76,135
316,66,110
322,62,130
215,85,109
329,66,147
321,66,117
322,62,130
182,89,124
304,67,122
268,75,171
345,64,111
284,67,98
214,82,116
293,72,119
215,85,133
316,66,110
223,75,136
343,67,140
261,73,116
316,67,153
292,64,107
181,86,114
387,58,134
299,70,140
251,74,109
231,80,105
300,67,108
405,55,99
476,51,94
249,77,110
340,63,154
329,60,143
301,65,127
430,58,104
268,70,134
351,68,110
418,51,94
234,72,98
409,57,99
202,81,124
173,100,149
303,65,121
269,69,133
203,80,107
263,72,114
345,64,112
444,49,84
266,64,111
303,65,131
214,93,114
282,68,136
333,61,110
269,70,129
269,64,109
229,88,172
298,72,144
244,68,114
358,60,94
345,64,111
334,65,105
236,81,154
304,63,111
277,68,141
298,72,144
308,61,142
251,70,114
301,65,127
297,73,136
155,100,146
326,67,114
351,64,140
220,86,110
214,82,105
280,75,139
181,86,114
387,58,100
279,73,155
267,72,99
263,72,114
272,76,124
268,76,171
261,72,116
317,63,105
331,68,141
288,72,126
251,74,142
321,65,116
298,72,144
310,67,136
198,86,119
311,65,119
266,64,112
272,75,126
251,74,142
302,72,120
221,86,130
367,64,109
217,93,113
292,64,109
292,63,109
474,49,95
320,70,113
317,63,105
299,71,141
299,70,140
284,73,112
306,67,156
277,68,100
220,92,117
249,78,134
332,65,121
317,62,106
316,66,110
281,67,136
286,69,134
473,48,95
239,76,110
345,62,111
329,67,145
228,81,106
193,95,141
334,62,110
417,51,101
281,67,111
167,94,131
286,70,122
393,58,155
237,85,155
317,67,153
168,96,130
179,82,109
272,75,124
181,86,108
329,66,142
289,70,153
229,81,125
324,75,120
204,90,153
317,67,153
307,73,120
227,88,173
303,65,131
203,90,107
209,86,119
292,61,108
290,69,130
299,70,140
221,86,130
368,60,103
457,49,97
357,57,105
300,75,120
182,89,124
473,50,95
268,75,171
233,84,94
326,63,139
357,56,108
351,64,140
344,61,118
181,88,118
243,82,112
300,67,108
268,70,134
306,68,136
310,68,135
306,68,156
338,61,145
430,57,104
283,72,124
277,72,154
257,85,133
326,66,120
357,57,105
334,62,110
290,69,130
283,72,124
429,56,158
299,72,143
306,67,156
358,60,94
297,74,136
340,64,153
329,66,147
245,76,136
326,63,139
311,65,119
279,73,155
281,67,111
263,72,131
327,64,138
268,76,171
251,74,109
230,81,105
338,61,145
231,80,105
310,67,155
340,62,145
256,68,140
310,64,142
321,66,117
270,64,111
